Country,average
Afghanistan,1.97
Albania,2.48
Algeria,2.46
Angola,2.28
Antigua and Barbuda,2.9
Argentina,2.97
Armenia,2.46
Australia,3.77
Austria,3.93
Azerbaijan,2.47
Bahamas,2.73
Bahrain,3.2
Bangladesh,2.6
Belarus,2.58
Belgium & Luxembourg,3.98
Benin,2.67
Bhutan,2.33
Bolivia,2.42
Bosnia and Herzegovina,2.75
Botswana,2.76
Brazil,3.04
Brunei Darussalam,2.79
Bulgaria,3.02
Burkina Faso,2.44
Burundi,2.21
Cambodia,2.56
Cameroon,2.39
Canada,3.88
Central African Republic,2.4
Chad,2.27
Chile,3.19
China,3.55
Macao,3.55
Colombia,2.75
Comoros,2.43
Congo,2.35
Congo DR,2.35
Costa Rica,2.75
Croatia,3.04
Cuba,2.2
Cyprus,3.09
Czechoslovakia,3.35
Cote d'Ivoire,2.68
Denmark,3.92
Faroe Islands,3.92
Djibouti,2.28
Dominican Republic,2.66
Ecuador,2.75
Egypt,2.82
El Salvador,2.7
Equatorial Guinea,2.18
Eritrea,2.06
Estonia,3.23
Ethiopia PDR,2.39
Fiji,2.36
Finland,3.92
Martinique,3.85
Guadeloupe,3.85
Réunion,3.85
New Caledonia,3.85
French Polynesia,3.85
France,3.85
Gabon,2.26
Gambia,2.52
"Gambia, The",2.38
Georgia,2.57
Germany,4.13
Ghana,2.5
Greece,3.21
Grenada,2.5
Guatemala,2.61
Guinea,2.47
Guinea-Bissau,2.39
Guyana,2.36
Haiti,2.15
Honduras,2.63
Hong Kong,3.97
Hungary,3.26
Iceland,3.36
India,3.19
Indonesia,2.99
Iran,2.55
Iraq,2.21
Ireland,3.73
Israel,3.41
Italy,3.68
Jamaica,2.49
Japan,3.96
Jordan,2.78
Kazakhstan,2.66
Kenya,2.75
South Korea,3.66
Kuwait,3.05
Kyrgyzstan,2.36
Lao,2.4
Latvia,3.15
Lebanon,2.74
Lesotho,2.24
Liberia,2.37
Libya,2.23
Lithuania,3.16
North Macedonia,2.66
Madagascar,2.41
Malawi,2.66
Malaysia,3.46
Maldives,2.58
Mali,2.46
Malta,3.05
Mauritania,2.29
Mauritius,2.57
Mexico,3.02
Moldova,2.49
Mongolia,2.33
Serbia & Montenegro,2.57
Morocco,2.66
Mozambique,2.37
Myanmar,2.26
Namibia,2.52
Nepal,2.31
Netherlands,4.09
New Zealand,3.62
Nicaragua,2.49
Niger,2.37
Nigeria,2.57
Norway,3.79
Oman,3.05
Pakistan,2.69
Panama,3.11
Papua New Guinea,2.43
Paraguay,2.66
Peru,2.85
Philippines,2.99
Poland,3.42
Portugal,3.46
Qatar,3.33
Romania,3.05
Russian Federation,2.6
Rwanda,2.51
Sao Tome,2.61
Saudi Arabia,3.16
Senegal,2.49
Serbia,2.81
Sierra Leone,2.02
Singapore,4.12
Slovenia,3.21
Solomon Islands,2.45
Somalia,1.87
South Africa,3.56
Spain,3.72
Sri Lanka,2.59
Sudan,2.36
Sweden,4.03
Switzerland,3.95
Syria,2.25
Taiwan,3.71
Tajikistan,2.28
Tanzania,2.53
Thailand,3.34
Timor-Leste,1.71
Togo,2.47
Trinidad and Tobago,2.44
Tunisia,2.73
Turkey,3.34
Turkmenistan,2.35
Uganda,2.73
Ukraine,2.75
United Arab Emirates,3.8
United Kingdom,3.95
United States,3.89
Puerto Rico,3.89
Uruguay,2.8
Uzbekistan,2.48
Venezuela,2.5
Vietnam,3.08
Yemen,2.4
Zambia,2.41
Zimbabwe,2.31
Barbados,2.52
Belize,2.41
Suriname,2.36
Eswatini,3.38
Montenegro,2.84
North Korea,2.8
