Country,WSI_risk
Afghanistan,0.673837198
Albania,0.69476574
Algeria,0.77479982
Andorra,0.708999445
Angola,0.226157947
Antigua and Barbuda,
Argentina,0.366983451
Armenia,0.59831808
Australia,0.581343687
Austria,0.05230067
Azerbaijan,0.493670178
Bahamas,
Bahrain,1
Bangladesh,0.532112227
Barbados,
Belarus,0.236194163
Belgium & Luxembourg,0.866
Belize,0.013640229
Benin,0.000686413
Bhutan,0.073555235
Bolivia,0.031106301
Bosnia and Herzegovina,0.079177504
Botswana,0.932861487
Brazil,0.207581948
Brunei,0
Bulgaria,0.291464672
Burkina Faso,0.32920821
Burundi,0
Cambodia,0.374102568
Cameroon,0.001626268
Canada,0.246663091
Cape Verde,
Central African Republic,0.002025431
Chad,0.170672913
Chile,0.894373735
China,0.560051569
Taiwan,0.560051569
Hong Kong,0.560051569
Macao,0.560051569
Colombia,0.099228291
Comoros,
Congo,0.002881027
Congo DR,0.00243192
Costa Rica,0.129645339
Croatia,0.0335309
Cuba,0.33018498
Cyprus,1
Czechoslovakia,0.352
Denmark,0.190284249
Faroe Islands,0.190284249
Djibouti,0.635103767
Dominica,
Dominican Republic,0.320895872
Ecuador,0.13146438
Egypt,0.970325043
El Salvador,0.389599231
Equatorial Guinea,0
Eritrea,0.788507997
Estonia,0.243612062
Eswatini,0.06276976
Ethiopia PDR,0.192247487
Fiji,
Finland,0.161725056
France,0.383290432
Martinique,0.383290432
Guadeloupe,0.383290432
Réunion,0.383290432
New Caledonia,0.383290432
French Polynesia,0.383290432
Gabon,0
Gambia,0.004902878
Georgia,0.185629394
Germany,0.408380903
Ghana,0.022480524
Greece,0.867780888
Grenada,
Guatemala,0.205332435
Guinea,0.071016984
Guinea-Bissau,0.06149785
Guyana,0.539146771
Haiti,0.320515526
Honduras,0.022524407
Hungary,0.085034947
Iceland,0
India,0.821558895
Indonesia,0.533832576
Iran,0.930673715
Iraq,0.829246901
Ireland,0.072667631
Israel,0.988330413
Italy,0.668803759
Cote d'Ivoire,0
Jamaica,0
Japan,0.393549996
Jordan,0.923916173
Kazakhstan,0.502312067
Kenya,0.15764207
Kuwait,1
Kyrgyzstan,0.655369296
Lao,0.14832404
Latvia,0.114344401
Lebanon,1
Lesotho,0.589987128
Liberia,0
Libya,0.961042146
Liechtenstein,0.162626693
Lithuania,0.427926714
Madagascar,0.179728588
Malawi,0.150560564
Malaysia,0.206526205
Mali,0.135493501
Malta,
Mauritania,0.545579594
Mauritius,
Mexico,0.799003986
Micronesia,
Moldova,0.252444562
Mongolia,0.625687245
Montenegro,0.143034959
Morocco,0.797681225
Mozambique,0.074100502
Myanmar,0.426230728
Namibia,0.835159522
Nauru,
Nepal,0.636458674
Netherlands,0.316224059
New Zealand,0.010176018
Nicaragua,0.042770701
Niger,0.694259665
Nigeria,0.160311276
North Korea,0.464480222
North Macedonia,0.601911739
Norway,0.037674448
Oman,1
Pakistan,0.758114013
Palau,
Panama,0.14900375
Papua New Guinea,0
Paraguay,6.88E-05
Peru,0.748643409
Philippines,0.405255049
Poland,0.331727734
Portugal,0.652006479
Qatar,1
Romania,0.237602964
Russian Federation,0.233518507
Rwanda,0
Saint Kitts and Nevis,
St. Lucia,
Saint Vincent and the Grenadines,
Samoa,
San Marino,0.889839814
Sao Tome and Principe,
Saudi Arabia,0.996161685
Senegal,0.444020197
Serbia,0.247104748
Seychelles,
Sierra Leone,0
Singapore,
Slovenia,0.105223496
Solomon Islands,
Somalia,0.334931667
South Africa,0.833550711
South Korea,0.476249871
Spain,0.788048533
Sri Lanka,0.472289443
Sudan,0.289
Suriname,0.333510613
Sweden,0.156258679
Switzerland,0.08112369
Syria,0.802693726
Tajikistan,0.467009623
Tanzania,0.381043392
Thailand,0.724601528
Timor-Leste,0.354438437
Togo,0.000648465
Tonga,
Trinidad and Tobago,
Tunisia,0.856071783
Turkey,0.677296686
Turkmenistan,0.747625366
Tuvalu,
Uganda,0.039617906
Ukraine,0.274500771
United Arab Emirates,0.999998242
United Kingdom,0.259600748
United States,0.520882235
Puerto Rico,0.520882235
Uruguay,0.366596662
Uzbekistan,0.72565837
Vanuatu,
Venezuela,0.364050752
Vietnam,0.422553919
Yemen,0.938735167
Zambia,0.169113472
Zimbabwe,0.434917537
